P_HP_in,T_LP_in,split_ratio,P_LP_in,P_inter,T_comp_in,thermal_efficiency,net_power
20.2028768220262,568.638959764359,0.383750914618036,11.5602583607922,14.810727922505,36.5211709644581,-100000000,-100000000
21.4618014892658,593.855875312677,0.261887919565066,14.8837924749579,8.2711138174245,38.4240934012286,-100000000,-100000000
21.4618014892658,593.855875312677,0.261887919565066,14.8837924749579,8.2711138174245,38.4240934012286,-100000000,-100000000
20.148085445957,568.7604280229,0.383343058727146,12.0089273918004,14.8623965328291,44.9832860619495,-100000000,-100000000
20.2028768220262,568.638959764359,0.383750914618036,11.5602583607922,14.810727922505,36.5211709644581,-100000000,-100000000
21.4618014892658,592.100325167919,0.234342613906392,9.23721332596228,8.28371577788437,37.5286768648823,-100000000,-100000000
24.189310641234,585.525008387233,0.391525550718213,8.79458167439786,12.1725100877289,34.7095770391311,-100000000,-100000000
21.4618014892658,594.139004672939,0.261887919565066,14.8837924749579,8.2711138174245,38.4240934012286,-100000000,-100000000
18.7071411275947,519.874628554529,0.318678064813609,11.1521244869909,11.568679075524,41.9143247156608,-100000000,-100000000
21.632703663324,507.568216719573,0.412698329109402,14.7626512353451,9.51010095893382,44.7842838110547,-100000000,-100000000
