P_HP_in,T_LP_in,split_ratio,P_LP_in,P_inter,T_comp_in,thermal_efficiency,net_power
33.3357451312653,585.760901406409,0.358908490739577,15.5784685068775,15.8727214941798,45.433978826276,47.9793144633838,71968974.19
33.1857696859247,586.642172900391,0.380116797328972,15.6626886516399,15.8403111902981,44.1451558689756,-100000000,-100000000
33.3357451312653,582.586006923228,0.363503697570383,15.5784685068775,15.8748178879414,45.4944879183219,47.7086309527675,71562948.91
33.3357451312653,582.40474993076,0.363503697570383,15.5784685068775,15.8727214941798,45.4944879183219,47.7007253679077,71551090.58
33.3357451312653,592.25441439042,0.363740219813994,10.6905859353298,15.8727214941798,44.1300702817613,47.477773462452,71216662.71
22.8709572540415,596.21408958698,0.465991592568735,10.3450723830039,15.9882850731711,44.1451558689756,45.7883345193377,68682504.16
22.8285277843485,585.782394261129,0.358908490739577,15.5784685068775,15.8727214941798,45.433978826276,45.720783931199,68581178.32
22.6316648175281,586.594260223221,0.391748778917407,10.3450723830039,15.6239082876645,44.1451558689756,45.680057372638,68520088.48
22.6316648175281,586.594260223221,0.391748778917407,10.3450723830039,15.6293638849266,44.1451558689756,45.6772062831902,68515811.8
22.6316648175281,586.594260223221,0.391748778917407,10.3450723830039,15.8403111902981,44.1451558689756,45.567583516612,68351377.69
